,RMS ID,MSX Name,Source Type,Flux 8 (Jy),Flux 12 (Jy),Flux 14 (Jy),Flux 21 (Jy),J Mag.,H Mag.,K Mag.,VLSR (km/s),Distance (kpc),D type,FIR Lum.,Lum. Source,Freq. (GHz),Int. Flux,Random?
1524,3615,G052.9221-00.4892,HII region ,1.528,2.1959999999999997,2.15,5.79,,,,46.0,5.1,Kin,4168,MSX,5.0,<0.6,
1527,3647,G053.1355-02.7609,OH/IR star ,3.52,4.9910000000000005,6.86,7.81,17.0,17.1,14.8,,,,,MSX,5.0,<0.6,
1528,3608,G053.1417+00.0705,YSO ,6.645,12.418,17.71,31.58,17.5,14.5,11.9,21.7,1.9,Kin,8664,MIPS/IGA,5.0,<0.7,
1529,3614,G053.1659-00.2473,HII region ,1.3559999999999999,1.6680000000000001,2.7,12.18,,,,60.9,5,Kin,9329,MSX,5.0,1.5,
1530,3606,G053.1837+00.1581,Rejected ,0.11699999999999999,4.488,9.74,21.21,,,,,,,,MSX,,,
1531,3602,G053.1865+00.2093,HII region ,1.903,3.715,3.46,9.95,16.3,14.4,12.4,1.1,9.7,Kin,14171,MIPS/IGA,5.0,95.9,
1532,3605,G053.1867+00.1622,Rejected ,0.9490000000000001,2.335,3.05,7.0,,,,16.6,1.51/8.55,,551.3/17674.7,MSX,,,
1533,3607,G053.1969+00.1483,Diffuse HII region ,1.216,1.976,1.32,3.3,,,,6.5,9.3,Kin,27563,MIPS/IGA,5.0,<1.1,
1534,3625,G053.5343-00.7943,YSO ,6.415,14.979000000000001,19.86,23.35,13.8,10.7,8.3,58.5,5,Kin,7348,MIPS/IGA,5.0,<0.6,
1535,3612,G053.5476-00.0032,Evolved star ,0.473,1.101,1.86,5.66,8.2,8.0,7.8,,,,,MSX,,,
1536,3627,G053.5671-00.8653,YSO ,0.125,0.59,0.92,4.22,,,,24.4,7.8,Kin,6926,MSX,,,
1537,3611,G053.6185+00.0376,YSO ,0.81,0.784,1.17,4.29,,,,23.0,7.9,Kin,19328,MIPS/IGA,8.6,<0.4,
1538,3618,G053.6302-00.2391,OH/IR star ,0.853,5.2860000000000005,13.98,33.56,14.3,12.9,12.0,60.0,5,Kin,28747,MSX,5.0,<0.7,
1539,3616,G053.9584+00.0317,HII region ,2.188,4.096,5.34,27.69,16.9,14.8,12.8,41.7,4.9,Kin,8742,MIPS/IGA,5.0,48.5,
1540,3620,G054.0926-00.0693,HII region ,2.41,3.13,2.49,5.34,17.7,14.5,11.7,39.9,4.9,,5514,MSX,,,
1541,3619,G054.0954-00.0598,HII region ,1.1909999999999998,3.9419999999999997,5.24,16.47,17.8,15.4,13.4,40.2,4.9,Kin,5886,MIPS/IGA,4.8,1.8,
1543,3651,G054.4001-02.5713,PN ,0.508,1.4040000000000001,2.02,9.33,12.8,12.7,11.8,,,,,MSX,,,
1544,3526,G054.6667+02.6001,Evolved star ,0.185,0.809,1.82,7.43,10.3,9.5,9.1,,,,,MSX,,,
1545,3456,G054.8673+04.6405,Proto-PN ,1.224,5.058,8.85,10.09,16.5,14.9,13.5,,,,,MSX,5.0,<0.7,
1546,3675,G054.8786-04.1132,OH/IR star ,2.272,3.695,3.62,4.24,15.1,11.5,9.1,,,,,MSX,,,
1547,3613,G054.9492+00.7354,OH/IR star ,54.976000000000006,76.675,112.55,108.94,17.1,16.2,12.2,41.3,4.8,Kin,87417,MSX,,,
1548,3582,G055.1133+02.4192,Diffuse HII region??,1.0590000000000002,2.137,3.76,10.0,,,,,,,,MSX,,,
1549,3488,G055.1229+03.0762,OH/IR star ,7.579,14.628,17.4,16.03,,,,,,,,MSX,,,
1552,3492,G055.1632+03.0337,OH/IR star ,12.850999999999999,18.328,23.12,26.88,15.9,14.0,9.6,,,,,MSX,5.0,<0.6,
1553,3622,G055.2586+00.5159,PN ,3.065,4.824,5.9,9.98,14.1,10.9,8.7,,,,,MSX,5.0,3,
1554,3626,G055.3704+00.1858,Proto-PN?,11.84,22.676,23.08,45.0,11.3,7.7,6.6,35.8,3.7,Kin,13718,MIPS/IGA,5.0,<0.7,
1555,3636,G055.5067-00.5579,PN ,1.345,4.871,10.57,19.23,11.6,11.3,10.3,,,,,MSX,5.0,203.1,
1556,3631,G055.9966-00.0848,HII region??,1.713,2.364,1.75,4.19,14.8,12.0,10.5,40.1,4.7,Kin,1896,MIPS/IGA,5.0,<0.6,
1557,3601,G056.0959+02.0938,PN ,0.552,1.666,4.08,14.48,13.5,12.5,11.1,9.4,1,Kin,531,MSX,,,
1558,3641,G056.3694-00.6333,YSO ,1.574,1.9180000000000001,2.36,3.97,,,,32.4,5.9,Kin,8745,MIPS/IGA,5.0,<0.6,
1559,3638,G056.4095-00.3083,OH/IR star ,18.955,33.228,50.7,63.04,13.1,10.6,8.4,39.6,4.7,Kin,47080,MSX,5.0,<0.6,
1560,3635,G056.4120-00.0277,YSO ,3.306,5.067,5.62,7.17,12.5,9.9,8.1,-4.4,9.3,Kin,22243,MIPS/IGA,5.0,<0.7,
1561,3640,G056.9657-00.2340,HII/YSO??,1.046,1.071,1.1,2.94,,,,31.5,3.4,Kin,1945,MSX,,,
1563,3633,G057.3283+00.5849,Evolved star ,1.3459999999999999,2.25,2.63,3.06,10.5,9.5,8.9,,,,,MSX,5.0,<0.8,
1566,3629,G057.5494+01.2169,Evolved star ,2.225,3.52,4.82,5.27,13.7,12.0,10.7,11.6,1.3,Kin,289,MSX,5.0,<0.6,
1567,3628,G057.8126+01.4597,Evolved star ,0.297,1.4280000000000002,2.48,4.21,,,,,,,,MSX,,,
1568,3610,G057.9106+02.4197,OH/IR star ,2.7439999999999998,4.945,5.85,5.63,15.9,14.9,13.8,,,,,MSX,5.0,<0.6,
1569,3666,G057.9547-01.5694,PN ,0.858,2.728,3.45,8.85,12.8,12.3,11.2,,,,,MSX,,,
1572,3642,G058.7087+00.6607,YSO ,0.85,0.7959999999999999,0.8,4.68,17.1,15.2,12.2,30.9,4.4,Kin,3300,MIPS/IGA,5.0,<0.7,
1573,3652,G059.1886+00.1053,Evolved star?,0.456,2.048,3.11,4.71,,,,,,,,MSX,,,
1574,3660,G059.3614-00.2068,YSO ,1.818,5.239,8.72,25.6,13.9,11.5,9.6,29.0,2.2,Par,1019,MIPS/IGA,8.6,<0.4,
1575,3657,G059.4657-00.0457,YSO ,1.391,2.103,2.2,3.62,10.5,9.6,8.6,31.3,2.2,Par,1032,MIPS/IGA,5.0,<0.6,
1576,3669,G059.4784-00.8969,OH/IR star ,12.217,17.385,25.32,25.0,,,,,,,,MSX,,,
