Name,Flux_70
G305.5263-00.0368,110.482000
G305.5345+00.3499,67.102000
G305.5393+00.3394,50.607000
G305.6039-00.6904,59.931000
G305.7893+00.2807,18.864000
G305.8067+00.0179,42.435000
G305.9072-00.9121,1.195000
G305.9402-00.1634,119.937000
G306.0951-00.4778,25.023000
G306.1260-01.1371,1.746000
G307.3950-00.5838,44.954000
G307.5240-00.2774,3.326000
G307.5606-00.5871,1564.420000
G307.6213-00.2622,462.973000
G307.6519-01.0411,4.410000
G307.7359-00.5945,65.665000
G308.0049-00.3868,34.371000
G308.0314-01.0529,370.966000
G308.0813-00.4131,135.598000
G308.2010-01.0199,102.015000
G308.2973-00.7046,66.860000
G308.3653-00.5085,1.029000
G308.6391+00.5685,48.390000
G308.6499+00.5941,4.291000
G308.6537+00.6003,5.932000
G308.6590-00.4443,1.900000
G308.6876+00.5241,28.711000
G308.7008+00.5312,30.914000
G308.7346-00.5086,118.868000
G308.7452+00.5482,82.061000
G308.9873-00.7323,46.967000
G309.0213+00.8906,18.322000
G309.1596-00.5936,313.544000
G309.1773-00.0278,211.984000
G309.1932+00.9910,7.418000
G309.2203-00.4619,114.244000
G309.2975-00.4099,42.120000
G309.3086+00.5317,9.115000
G309.4230-00.6208,71.259000
G309.8886+00.3982,712.432000
G309.9369-00.1724,1.685000
G310.0135+00.3892,1634.310000
G310.5163-00.2179,223.356000
G310.6311-00.4290,3.343000
G310.6819-00.9288,0.956000
G310.8494-01.3787,36.403000
G311.0341+00.3791,41.719000
G311.0593-00.3349,12.160000
G311.1359-00.2372,70.827000
G311.1794-00.0720,188.539000
G311.2292-00.0315,63.049000
G311.4031-01.2308,17.476000
G311.4163+00.9162,7.367000
G311.4402+00.4243,89.809000
G311.4742+00.4010,63.154000
G311.4824+00.3602,139.320000
G311.5123+00.3528,5.699000
G311.5131-00.4532,135.574000
G311.5671+00.3189,28.838000
G311.5955-00.3981,53.949000
G311.6434-00.3804,663.963000
G311.6833-00.6254,7.620000
G311.9668-00.0490,5.444000
G312.3070+00.6613,267.312000
G312.5472-00.2801,149.782000
G313.3582-00.9386,7.661000
